,Unnamed: 0,Unnamed: 0.1,cafe_id,cafe,address,addrbunho,image_url
78,78,78,27237081,카페콜라,제주특별자치도 제주시 한림읍 귀덕리,1028,http://t1.daumcdn.net/place/71943587F72F498485BC65F104755298
79,79,79,784765466,카페조아,제주특별자치도 제주시 오라삼동,2912-5,
80,80,80,11053803,빠빠라기 시청점,제주특별자치도 제주시 이도2동,1772-17,http://t1.daumcdn.net/place/672C6E28ED514094B1DAF008AA3293AC
81,81,81,537355719,오븐의일,제주특별자치도 제주시 애월읍 유수암리,1038-8,http://t1.daumcdn.net/localfiy/112AE0CFE9D04F2FBF9EE3C2134591DE
82,82,82,990327115,마리웨일237 제주일도점,제주특별자치도 제주시 일도2동,416-16,http://t1.daumcdn.net/cfile/222C164C574BC59911
83,83,83,237123710,티하우스 오온,제주특별자치도 제주시 이도이동,1965-15,http://t1.daumcdn.net/place/E2BAAAB9829D4E03B38AA7BA41707C23
84,84,84,1895306176,브런치카페론다,제주특별자치도 제주시 노형동,1062-5,
85,85,85,291795118,라그라스,제주특별자치도 서귀포시 표선면 세화리,353-2,
86,86,86,26974861,파스쿠찌 신제주점,제주특별자치도 제주시 오라이동,3100-3,
87,87,87,863489588,통큰아이카페,제주특별자치도 제주시 이도이동,1174-5,
88,88,88,603124678,요기나와,제주특별자치도 제주시 이호일동,1709,http://t1.daumcdn.net/place/0EC53D599A7F4E4A83EA654ACF242BD8
89,89,89,10925287,해당화다방,제주특별자치도 서귀포시 서귀동,256-25,
90,90,90,1505002027,커피파인더,제주특별자치도 제주시 이도이동,1766-7,http://t1.daumcdn.net/place/FA0ACE4375A34444A61FEDF013F58F28
91,91,91,1191527008,오버더윈도우,제주특별자치도 서귀포시 서귀동,446-3,http://t1.daumcdn.net/place/8BB9AE6050434C029CDE0422477A8887
92,92,92,12768122,빈스와플,제주특별자치도 서귀포시 중문동,2059-2,http://t1.daumcdn.net/place/F11364853ED14AD8B6B7B248E397266D
93,93,93,26943770,네스카페 제주성산리조트점,제주특별자치도 서귀포시 성산읍 시흥리,195-1,http://t1.daumcdn.net/place/88B1AB1B65A345B99BBA8A168835EFFA
94,94,94,23674179,차세상,제주특별자치도 제주시 아라일동,6038-5,http://t1.daumcdn.net/localfiy/16C2F73798344F8F8B2568606BA4824C
95,95,95,1233330231,메가엠지씨커피제주외도점,제주특별자치도 제주시 외도일동,498-9,
96,96,96,592590141,로이셀세화,제주특별자치도 제주시 구좌읍 세화리,1488-1,
97,97,97,24450561,포메르,제주특별자치도 제주시 애월읍 구엄리,555-6,http://t1.daumcdn.net/place/5A2CCEDF0A7449CF98971604C727B513
98,98,98,1184824906,슈가갤러리,제주특별자치도 제주시 일도1동,1338,http://t1.daumcdn.net/place/9AF23E6876774B6FBC9ED7109AB04B25
99,99,99,27048565,해인의정제,제주특별자치도 제주시 한림읍 한림리,1202-2,
100,100,100,2008653310,보리다방,제주특별자치도 서귀포시 대정읍 하모리,962-2,
101,101,0,1624310743,도바나,제주특별자치도 서귀포시 표선면 표선리,879,http://t1.daumcdn.net/localfiy/searchregister_33783479
102,102,1,1940356147,커피516,제주특별자치도 서귀포시 동홍동,417-13,
103,103,2,2002632309,커피스트릿16,제주특별자치도 제주시 용담2동,481-25,http://t1.daumcdn.net/localfiy/17A4C845E6E04F05B242D44DC234FFEB
104,104,3,25575534,달달구리,제주특별자치도 제주시 노형동,2588-8,http://t1.daumcdn.net/place/CDA6819735B540A1AA898DCC0BBBB60A
105,105,4,966859018,카페52,제주특별자치도 서귀포시 대정읍 하모리,1089-23,http://t1.daumcdn.net/place/B903C4D6AEB5491C8D78ED17404F607D
106,106,5,1087979655,김녕처럼,제주특별자치도 제주시 구좌읍 김녕리,4009,http://t1.daumcdn.net/localfiy/48380C65DBAC4834B84D55E292DD599A
107,107,6,21928334,미르,제주특별자치도 제주시 도남동,918-2,
108,108,7,56646187,로스크,제주특별자치도 제주시 건입동,1322,http://t1.daumcdn.net/place/5B697394204B43FA87DB59865A7F3B11
109,109,8,139556873,한라카페테리아,제주특별자치도 제주시 아라일동,1,
110,110,9,24766902,설빙 신제주직영점,제주특별자치도 제주시 연동,273-20,http://t1.daumcdn.net/place/C2927C983A1B4BC2A067F657B5FCCC67
111,111,10,1805030433,모래비커피팩토리,제주특별자치도 제주시 구좌읍 월정리,536-4,http://t1.daumcdn.net/place/0B73324B7D1A408BA39AB73EF540A928
112,112,11,1359144936,오르미,제주특별자치도 제주시 회천동,2969,
113,113,12,2097901839,비엔도두지점,제주특별자치도 제주시 도두일동,2547,
114,114,13,27549454,중문다방,제주특별자치도 서귀포시 색달동,2864-36,http://t1.daumcdn.net/place/15787C3A8BD14ADA9278BFDAB67C674C
115,115,14,773605588,사계카페2,제주특별자치도 제주시 조천읍 신촌리,212,
116,116,15,1081428596,카페나인,제주특별자치도 서귀포시 법환동,747-2,
117,117,16,21480873,다인다방,제주특별자치도 제주시 용담1동,144-8,
118,118,17,499698149,알라스카인제주,제주특별자치도 제주시 애월읍 하귀1리,156-1,
119,119,18,1351854455,더로맨틱 내생에가장아름다운날들,제주특별자치도 제주시 조천읍 교래리,476,http://t1.daumcdn.net/place/D9F6AD5520B44A34A1E93F4BC18AF16A
120,120,19,18775659,미오,제주특별자치도 서귀포시 성산읍 온평리,1119,
121,121,20,1890673842,하녹티하우스,제주특별자치도 제주시 애월읍 하귀1리,1112-4,http://t1.daumcdn.net/localfiy/B76429DB76784C46AA8D39F7319CC2E2
122,122,21,1294301255,쥬씨 올래시장점,제주특별자치도 서귀포시 서귀동,417-2,
123,123,22,544218596,돌카롱,제주특별자치도 제주시 조천읍 교래리,732-2,http://t1.daumcdn.net/place/EF7D728B337A40DF9845E27916D28748
124,124,23,26987151,돌토고리카페,제주특별자치도 서귀포시 표선면 표선리,40-32,http://t1.daumcdn.net/place/7CA4BB0206064F2EA0B7BAD8990D8A0E
125,125,24,14608191,더블디,제주특별자치도 서귀포시 서귀동,309-1,
126,126,25,2127711601,노셋플랜즈,제주특별자치도 제주시 용담2동,435,http://t1.daumcdn.net/place/50192689892F4B8CBE8E733CDECE5066
127,127,26,24211864,베네토,제주특별자치도 제주시 연동,291-101,http://t1.daumcdn.net/place/BFCE1FF4EFD747B58D1D3CE786BCA5F1
128,128,27,1679229749,날외15,제주특별자치도 서귀포시 대정읍 일과리,1308-2,http://t1.daumcdn.net/localfiy/4222BD47F4CA4FC3BCF339888536D7CB
129,129,28,26503933,파스쿠찌 제주종합청사점,제주특별자치도 제주시 도남동,694-3,http://t1.daumcdn.net/place/66547E013B5C46008C99A556E9D66568
130,130,29,1701458616,마스코트,제주특별자치도 제주시 용담삼동,2318-3,http://t1.daumcdn.net/localfiy/searchregister_1511418169
131,131,30,1820359262,오르다,제주특별자치도 서귀포시 성산읍 성산리,308,http://t1.daumcdn.net/place/98DAAB2CB28A46669FF0B142E2AA0B99
132,132,31,21748381,카페가뫼몰,제주특별자치도 서귀포시 남원읍 남원리,2140-6,
133,133,32,1073145800,애월청과,제주특별자치도 제주시 애월읍 유수암리,1041-1,
134,134,33,1768726452,밀로드,제주특별자치도 서귀포시 대정읍 상모리,3723-1,http://t1.daumcdn.net/localfiy/searchregister_375467146
135,135,34,18629995,채점석 베이커리&커피,제주특별자치도 서귀포시 강정동,172-3,http://t1.daumcdn.net/place/D904A96CFA1F4A058780777A7265A8E8
136,136,35,26854693,걷다워크인제주,제주특별자치도 제주시 구좌읍 행원리,594-4,http://t1.daumcdn.net/place/028CA9CA8D8D4CDF9B6CBD5AF011D5F0
137,137,36,1450044291,카페소금,제주특별자치도 제주시 애월읍 구엄리,1285-1,http://t1.daumcdn.net/place/0CF555B7381E4CF5A7384FF8D65BAA4F
138,138,37,24120254,프로젝트비,제주특별자치도 서귀포시 성산읍 수산리,641,http://t1.daumcdn.net/place/E9A39150B49F4443BB9B85F94D519790
139,139,38,1166708713,카페나오,제주특별자치도 제주시 애월읍 유수암리,2411,
140,140,39,1683690976,카페위더스,제주특별자치도 제주시 오라이동,3178-1,
141,141,40,2106909178,카페소해피,제주특별자치도 제주시 삼도1동,526-3,http://t1.daumcdn.net/place/26C2D77884C241F99C082AE60C6F310B
142,142,41,2025723267,케이엠엘리더갤러리카페(제주시청점),제주특별자치도 제주시 이도2동,1010-10,
143,143,42,1611754279,라마레,제주특별자치도 서귀포시 안덕면 사계리,2147-30,
144,144,43,1363724318,트라인커피,제주특별자치도 제주시 조천읍 와흘리,1908,http://t1.daumcdn.net/place/981C6990AED14130B457E98BAD94BEA1
145,145,44,713222734,네이처캔버스,제주특별자치도 서귀포시 남원읍 신례리,829-5,http://t1.daumcdn.net/place/C58E25F4E7DE437DA94156B4116B960E
146,146,45,184819082,카페인우도,제주특별자치도 제주시 우도면 연평리,290-9,
147,147,46,819891458,시루애월,제주특별자치도 제주시 애월읍 장전리,634-1,http://t1.daumcdn.net/localfiy/176E70BB7DD94CFDB85837E6597FFE03
148,148,47,10726823,장미다방,제주특별자치도 서귀포시 대정읍 하모리,873-1,
149,149,48,553133678,카페기억해,제주특별자치도 제주시 구좌읍 행원리,1518-2,http://t1.daumcdn.net/place/8EA54BFB293647E7A0D91E1452C4036A
150,150,49,1928995179,렛츠셀프,제주특별자치도 제주시 아라일동,6151-6,
151,151,50,14737236,아이스빈 일도점,제주특별자치도 제주시 이도2동,409,
152,152,51,1485843941,디저트39 제주S중앙병원점,제주특별자치도 제주시 이호이동,22,http://t1.daumcdn.net/localfiy/346E88627CFF49CBAD65050386CA3E0D
153,153,52,1434854624,카페수블리,제주특별자치도 제주시 조천읍 와산리,1642-1,http://t1.daumcdn.net/localfiy/3B35D2D2FCE64EBD8878E8C67616E63E
154,154,53,15097158,향까페,제주특별자치도 서귀포시 서귀동,271-37,
155,155,54,14828356,칼디와커피콩,제주특별자치도 제주시 이도2동,1080-1,
156,156,55,1556209480,컴플렉스,제주특별자치도 제주시 이도1동,1401-1,http://t1.daumcdn.net/localfiy/A81E068885F94160967A01FB1F4B3BEF
157,157,56,1630713791,온오프,제주특별자치도 제주시 우도면 연평리,690,http://t1.daumcdn.net/place/269AF2E572CF4D87987A523280C45F6D
158,158,57,23066705,스타벅스 제주서귀포점,제주특별자치도 서귀포시 서귀동,293-9,http://t1.daumcdn.net/place/202B56CF756D4AF1B964E5D8C309DE27
159,159,58,10328679,명다방,제주특별자치도 제주시 건입동,1136,
160,160,59,18619103,피어나,제주특별자치도 제주시 연동,1509-8,
161,161,60,556270938,미녀들의수다 아라스위첸점,제주특별자치도 제주시 아라일동,6093-7,
162,162,61,953763366,카페봄봄,제주특별자치도 제주시 일도2동,48-5,http://t1.daumcdn.net/place/913E1D726F3146618B770CC22FB3A940
163,163,62,43428286,블랑벨,제주특별자치도 제주시 구좌읍 송당리,2610,
164,164,63,192759249,STOP샷 사진카페,제주특별자치도 제주시 이호일동,313-2,
165,165,64,1838291163,작은쉼표,제주특별자치도 제주시 내도동,363-6,
166,166,65,12624890,애프터눈,제주특별자치도 서귀포시 서홍동,397-96,http://t1.daumcdn.net/cfile/1322040C4CA0B30934
167,167,66,890412207,카페 보몽드,제주특별자치도 서귀포시 보목동,663-4,http://t1.daumcdn.net/localfiy/searchregister_1573946066
168,168,67,32245485,돌코롬봉봉,제주특별자치도 서귀포시 표선면 세화리,195-1,
169,169,68,148780844,올디벗구디,제주특별자치도 서귀포시 도순동,904-1,
170,170,69,860516838,제주당,제주특별자치도 서귀포시 법환동,163,http://t1.daumcdn.net/place/CC99E821D6B34EFE9D388A3891D2AD37
171,171,70,501601035,큐타초코,제주특별자치도 제주시 한경면 저지리,3004-1,http://t1.daumcdn.net/localfiy/FB2DE9D727964A26AD74EAEE9F1579C3
172,172,71,1148534678,블랑드오조,제주특별자치도 서귀포시 성산읍 오조리,231,
173,173,72,769399654,인그리드,제주특별자치도 제주시 이호일동,371-1,http://t1.daumcdn.net/localfiy/59DA79DE4C6E47868AB9B50E127EF527
174,174,73,652229727,개다방,제주특별자치도 서귀포시 동홍동,1554-4,http://t1.daumcdn.net/place/FBE72978C4584942ABF1F782B89054E9
175,175,74,1050221982,모찌롱,제주특별자치도 제주시 용담이동,2681-29,http://t1.daumcdn.net/place/A3001EE1AD9D4C9BB9E4E162C9BAA24C
176,176,75,648061721,부띠크아바,제주특별자치도 제주시 용담1동,248-5,http://t1.daumcdn.net/localfiy/1229DFB3FEBB4AC4A4CBD850FC0412AA
177,177,76,320724600,종달이야기,제주특별자치도 제주시 구좌읍 종달리,611-2,
178,178,77,1832729921,어컵오브아일랜드,제주특별자치도 제주시 노형동,3794-4,http://t1.daumcdn.net/cfile/2774BB3A57AA7D7026
179,179,78,14490553,웰컴,제주특별자치도 제주시 연동,313-80,
180,180,79,27563856,지오,제주특별자치도 제주시 도남동,917-28,http://t1.daumcdn.net/cfile/2478AC3C570C591408
181,181,80,27577933,쥬씨 제주한라대점,제주특별자치도 제주시 노형동,755-2,
182,182,81,746168512,부엉이커피팔다,제주특별자치도 제주시 외도이동,304-1,
183,183,82,1598348098,우짜,제주특별자치도 서귀포시 안덕면 사계리,2126,http://t1.daumcdn.net/localfiy/5E54DB8B0F3C47188A2CED04C9F2E2E9
184,184,83,187594665,책다방,제주특별자치도 제주시 구좌읍 월정리,607,http://t1.daumcdn.net/place/498698E996F74DCFAA34990A4700476C
185,185,84,950853175,로즈인제주,제주특별자치도 제주시 한림읍 옹포리,469,
186,186,85,586961257,새콤달콤 애월점,제주특별자치도 제주시 애월읍 곽지리,1565-13,http://t1.daumcdn.net/place/D721995845C6452C8B00DEE2FA168C50
187,187,86,24974178,카페웨이브,제주특별자치도 제주시 이도2동,1188-6,
188,188,87,26885624,카페다금바리스타,제주특별자치도 제주시 한경면 고산리,3610-4,http://t1.daumcdn.net/place/45C3EBCB17884BF19DF7E56B761B9B6A
189,189,88,1165753785,감성커피화북점,제주특별자치도 제주시 화북일동,1984-10,http://t1.daumcdn.net/place/E1C727AC93D74CC0B242E9950B42A447
190,190,89,79350750,더기카페,제주특별자치도 제주시 애월읍 유수암리,1178-1,
191,191,90,19975311,리솔라무인카페,제주특별자치도 서귀포시 성산읍 수산리,2572,http://t1.daumcdn.net/place/D6B2AEFB5EF449B1894B867311C5A193
192,192,91,284718590,에이바우트커피 시청점,제주특별자치도 제주시 이도이동,1179-9,http://t1.daumcdn.net/place/81F07675A8DD489B86D6C894F8F1E4CA
193,193,92,598824664,한와담제주점 카페펌킨제주점,제주특별자치도 서귀포시 안덕면 서광리,1418-1,
194,194,93,1609450431,달밤솔숲에바람지나가는소리,제주특별자치도 제주시 삼도2동,303-1,
195,195,94,261523320,카페 캐로타,제주특별자치도 제주시 구좌읍 평대리,3351-2,http://t1.daumcdn.net/localfiy/searchregister_1655712619
196,196,95,27164221,카페산책,제주특별자치도 서귀포시 대정읍 보성리,산 1,http://t1.daumcdn.net/cfile/2768363C56AEC77D17
197,197,96,454445122,스타벅스 제주함덕점,제주특별자치도 제주시 조천읍 함덕리,1004-27,http://t1.daumcdn.net/place/9CD68DEC44F242F8B84C2BC480F9B5D8
198,198,97,17272985,해비치불턱,제주특별자치도 서귀포시 표선면 표선리,1194-4,http://t1.daumcdn.net/place/7B01349D5E6047CCB633FA99E49EE225
199,199,98,20330057,쉘리비치,제주특별자치도 제주시 애월읍 곽지리,1669-5,
200,200,99,1220270738,말리가,제주특별자치도 제주시 한림읍 협재리,1071-3,http://t1.daumcdn.net/localfiy/searchregister_1434799546
201,201,0,17624223,카페띠아모 제주북노형점,제주특별자치도 제주시 노형동,1054-6,
202,202,1,17360017,길,제주특별자치도 제주시 일도1동,1330-2,
203,203,2,1540027970,늘제과점,제주특별자치도 서귀포시 표선면 표선리,2424-2,http://t1.daumcdn.net/localfiy/877DA494C47948A4A1A18C557C4160F7
204,204,3,1985176121,카페그해여름,제주특별자치도 제주시 한경면 조수리,428-1,http://t1.daumcdn.net/place/46FA35091EF9461190A674C141671F74
205,205,4,18392685,카페블룸,제주특별자치도 제주시 오라이동,3103-1,
206,206,5,20966951,쓰담쓰담 게스트하우스,제주특별자치도 제주시 한경면 판포리,2881-1,
207,207,6,1566433967,네꼬야 티하우스,제주특별자치도 제주시 애월읍 하귀1리,138-13,http://t1.daumcdn.net/place/E4C86EBD61DD4A12AEEE5650F82AD796
208,208,7,27167127,재클린디저트 모슬포점,제주특별자치도 서귀포시 대정읍 하모리,2126-8,http://t1.daumcdn.net/place/4474E07C21E14B889447BADE8C48233D
209,209,8,27167283,테이카웃마씸,제주특별자치도 제주시 용담1동,129-6,
210,210,9,10056433,호수다방,제주특별자치도 서귀포시 성산읍 고성리,307-3,
211,211,10,407565533,제주의꿈,제주특별자치도 제주시 애월읍 납읍리,1021,
212,212,11,2065881844,아뽀밍고,제주특별자치도 서귀포시 성산읍 성산리,399-46,
213,213,12,51590542,이정의댁,제주특별자치도 서귀포시 중문동,1702-4,http://t1.daumcdn.net/place/0B5C65D9224148B3A1582A3BD88F7DDE
214,214,13,2064021817,감성커피 한라병원점,제주특별자치도 제주시 연동,1964-3,
215,215,14,345842015,이너피스,제주특별자치도 제주시 노형동,3796-9,http://t1.daumcdn.net/localfiy/8420F8D172564222BFCE8B5CE1931E15
216,216,15,19499624,커피팔레트,제주특별자치도 제주시 이도2동,1178-3,http://t1.daumcdn.net/localfiy/283531B8421A462B83C601F6B3DACD8B
217,217,16,9008202,미소다방,제주특별자치도 제주시 용담1동,33,
218,218,17,14522964,기원다방,제주특별자치도 서귀포시 대정읍 하모리,1029-10,
219,219,18,867356495,하귀1629,제주특별자치도 제주시 애월읍 하귀1리,1629-1,http://t1.daumcdn.net/place/C0B9326E61E6429F85097E579FC5DE01
220,220,19,756799226,동명리공간,제주특별자치도 제주시 한림읍 동명리,1591-4,http://t1.daumcdn.net/place/994668A5BAE14601862E066F53A81A04
221,221,20,31532171,델타커피,제주특별자치도 제주시 이도이동,1084-12,
222,222,21,371491242,윤재커피,제주특별자치도 제주시 이도1동,1403-2,http://t1.daumcdn.net/place/C26CDB1CF06E4CA8BBF33BA567EDECBC
223,223,22,1406958574,바당국수카페,제주특별자치도 제주시 구좌읍 행원리,85-3,http://t1.daumcdn.net/localfiy/59BB07167DAE49F4AA1D4294426E9F4C
224,224,23,434148127,만남카페,제주특별자치도 서귀포시 서귀동,271-16,
